,ID,title,product_type,macro_category,prices,quantities,unit_of_measure,score,total_annual_revenues
0,-3943320916309203369,SHYZ Dye Pearlescent Color Pigment Soap Making Candle Epoxy Non Toxic Mica Powder,Pigment,Chemicals,1.5,100.0,pieces,5.0,10000.0
1,-3943320916309203369,SHYZ Dye Pearlescent Color Pigment Soap Making Candle Epoxy Non Toxic Mica Powder,Pigment,Chemicals,1.35,1000.0,pieces,5.0,10000.0
2,-3943320916309203369,SHYZ Dye Pearlescent Color Pigment Soap Making Candle Epoxy Non Toxic Mica Powder,Pigment,Chemicals,1.2,2000.0,pieces,5.0,10000.0
3,3997856763465518034,Food Grade Pigment Edible Luster Dust Gold Glitter Powder for Cake Gummy Bears Nutraceuticals,Pigment,Chemicals,39.99,1.0,kilograms,4.9,70000.0
4,3997856763465518034,Food Grade Pigment Edible Luster Dust Gold Glitter Powder for Cake Gummy Bears Nutraceuticals,Pigment,Chemicals,27.98,25.0,kilograms,4.9,70000.0
5,3997856763465518034,Food Grade Pigment Edible Luster Dust Gold Glitter Powder for Cake Gummy Bears Nutraceuticals,Pigment,Chemicals,22.62,100.0,kilograms,4.9,70000.0
6,3997856763465518034,Food Grade Pigment Edible Luster Dust Gold Glitter Powder for Cake Gummy Bears Nutraceuticals,Pigment,Chemicals,9.99,100000000.0,kilograms,4.9,70000.0
7,-9107464125335898188,Factory Price CAS 12004-37-4 Strontium Aluminate Luminescent Pigment For Sale,Pigment,Chemicals,"['$200.00/kilogram', '']",N/A,N/A,4.9,620000.0
8,-8186306912972676139,5ml Sealed Inner Plug Oily Color Essence 24 Color Concentrates DIY Crystal Epoxy Resin Pigment for DIY Jewelry Making,Pigment,Chemicals,0.14,5.0,pieces,4.8,420000.0
9,-8186306912972676139,5ml Sealed Inner Plug Oily Color Essence 24 Color Concentrates DIY Crystal Epoxy Resin Pigment for DIY Jewelry Making,Pigment,Chemicals,0.13,50.0,pieces,4.8,420000.0
10,-8186306912972676139,5ml Sealed Inner Plug Oily Color Essence 24 Color Concentrates DIY Crystal Epoxy Resin Pigment for DIY Jewelry Making,Pigment,Chemicals,0.12,100.0,pieces,4.8,420000.0
11,-3123399867166428552,Europium Oxide Doped Strontium Aluminate Phosphor Strontium Aluminate,Pigment,Chemicals,300.0,1.0,kilograms,5.0,250000.0
12,-3123399867166428552,Europium Oxide Doped Strontium Aluminate Phosphor Strontium Aluminate,Pigment,Chemicals,215.0,50.0,kilograms,5.0,250000.0
13,-3123399867166428552,Europium Oxide Doped Strontium Aluminate Phosphor Strontium Aluminate,Pigment,Chemicals,185.0,1000.0,kilograms,5.0,250000.0
14,-6147546366712782666,Hotsale Industrial Grade Gold Color Pearl Pigment Mica Pearlescent Powder For Ink Coating,Pigment,Chemicals,N/A,N/A,N/A,5.0,1500000.0
15,7711802432101753141,Factory Price Fe2O3 Iron Oxide red powder/black/yellow/green pigments for color concrete,Pigment,Chemicals,0.7,1.0,kilograms,4.5,120000.0
16,7711802432101753141,Factory Price Fe2O3 Iron Oxide red powder/black/yellow/green pigments for color concrete,Pigment,Chemicals,0.6,100.0,kilograms,4.5,120000.0
17,3556393034059236911,wholesales Iron oxide red/yellow/black/green/blue iron oxide pigment for brick Concrete pigment,Pigment,Chemicals,1.28,2.0,kilograms,4.9,15000000.0
18,3556393034059236911,wholesales Iron oxide red/yellow/black/green/blue iron oxide pigment for brick Concrete pigment,Pigment,Chemicals,1.09,5000.0,kilograms,4.9,15000000.0
19,3556393034059236911,wholesales Iron oxide red/yellow/black/green/blue iron oxide pigment for brick Concrete pigment,Pigment,Chemicals,0.89,10000.0,kilograms,4.9,15000000.0
20,3556393034059236911,wholesales Iron oxide red/yellow/black/green/blue iron oxide pigment for brick Concrete pigment,Pigment,Chemicals,0.78,50000.0,kilograms,4.9,15000000.0
21,6881860710387327612,Factory Price Wholesale Chameleon Flakes For Eye Shadow Pigment Face Makeup Nail Color shifting Pigment,Pigment,Chemicals,3.4,100.0,grams,5.0,30000.0
22,6881860710387327612,Factory Price Wholesale Chameleon Flakes For Eye Shadow Pigment Face Makeup Nail Color shifting Pigment,Pigment,Chemicals,3.2,500.0,grams,5.0,30000.0
23,6881860710387327612,Factory Price Wholesale Chameleon Flakes For Eye Shadow Pigment Face Makeup Nail Color shifting Pigment,Pigment,Chemicals,2.9,1000.0,grams,5.0,30000.0
24,2673831052729837536,Silver Aluminum Pigments Metal Powders for Garage Floor Epoxy Casting Resin UV Resin,Pigment,Chemicals,3.85,1.0,pieces,4.9,70000.0
25,2673831052729837536,Silver Aluminum Pigments Metal Powders for Garage Floor Epoxy Casting Resin UV Resin,Pigment,Chemicals,3.75,500.0,pieces,4.9,70000.0
26,2673831052729837536,Silver Aluminum Pigments Metal Powders for Garage Floor Epoxy Casting Resin UV Resin,Pigment,Chemicals,3.45,1000.0,pieces,4.9,70000.0
27,-7093429169741761646,"Hill Supply Stock Available Pigment Violet 37 CAS 61969-50-4 Used In PS, R-PVC, PC, PMMA",Pigment,Chemicals,60.0,1.0,kilograms,5.0,230000.0
28,-6688179429585271037,Iron Oxide Red 130 190 Pigment Wholesale Iron Trioxide Yellow Black for Cement Concrete Building,Pigment,Chemicals,N/A,1.0,tons,,10000.0
29,-6688179429585271037,Iron Oxide Red 130 190 Pigment Wholesale Iron Trioxide Yellow Black for Cement Concrete Building,Pigment,,850.0,20.0,tons,,10000.0
30,-6688179429585271037,Iron Oxide Red 130 190 Pigment Wholesale Iron Trioxide Yellow Black for Cement Concrete Building,Pigment,,700.0,50.0,tons,,10000.0
31,-8496042042066214880,1oz PU Leather Edge Paint Dyeing Color Coat Decoration Supplies Craft PU Leather Shoe Edge Pigment Dye,Pigment,Chemicals,0.7,10.0,barrels,4.7,10000.0
32,-6736747945373736722,Wholesale 24 Resin Color Pigment Pearl Mica Powder Soap Pigment for DIY Resin Crafts,Pigment,Chemicals,"['$0.38/piece', '']",N/A,N/A,4.6,130000.0
33,-4470168181515301765,Pearl chameleon pigment color shift automotive paint pigment car painting pigment,Pigment,Chemicals,0.24,500.0,grams,5.0,320000.0
34,-4470168181515301765,Pearl chameleon pigment color shift automotive paint pigment car painting pigment,Pigment,Chemicals,0.23,1000.0,grams,5.0,320000.0
35,-4470168181515301765,Pearl chameleon pigment color shift automotive paint pigment car painting pigment,Pigment,Chemicals,0.19,6000.0,grams,5.0,320000.0
36,-4520383366120271227,DM355 13 Color Resin Pigment Ink Alcohol Liquid Epoxy Resin Dye Concentrate Tumblers Colorant UV For Resina Mold Jewelry Making,Pigment,Chemicals,0.56,5.0,pieces,4.8,2000000.0
37,-4520383366120271227,DM355 13 Color Resin Pigment Ink Alcohol Liquid Epoxy Resin Dye Concentrate Tumblers Colorant UV For Resina Mold Jewelry Making,Pigment,Chemicals,0.4,100.0,pieces,4.8,2000000.0
38,-4520383366120271227,DM355 13 Color Resin Pigment Ink Alcohol Liquid Epoxy Resin Dye Concentrate Tumblers Colorant UV For Resina Mold Jewelry Making,Pigment,Chemicals,0.35,500.0,pieces,4.8,2000000.0
39,-5918354497511229483,Cocosir Non-toxic Candle Dyes 32 Colors Peach Red Candle Pigment Liquid Oil Soluble 10ml High Concentration Colorant,Pigment,Chemicals,0.91,50.0,pieces,4.8,20000.0
40,-5918354497511229483,Cocosir Non-toxic Candle Dyes 32 Colors Peach Red Candle Pigment Liquid Oil Soluble 10ml High Concentration Colorant,Pigment,Chemicals,0.79,1000.0,pieces,4.8,20000.0
41,-5918354497511229483,Cocosir Non-toxic Candle Dyes 32 Colors Peach Red Candle Pigment Liquid Oil Soluble 10ml High Concentration Colorant,Pigment,Chemicals,0.62,2000.0,pieces,4.8,20000.0
42,3787618195417652877,Luxury Cosmetic Recolored Mica Pearl Sparkling Pigment Epoxy Resin Color Pigment Mica Powder,Pigment,Chemicals,"['$0.55/piece', '']",N/A,N/A,5.0,50000.0
43,-3883929417715912664,Factory supply directly iron oxide red and yellow pigments for making paint/concrete lowest price iron oxide pigment,Pigment,Chemicals,"['$10.00/kilogram', '']",N/A,N/A,4.9,140000.0
44,6445464680837962161,Organic Pigment Yellow 34 CAS 1344-37-2 For Coating Inks Paints,Pigment,Chemicals,145.0,25.0,kilograms,5.0,100000.0
45,6445464680837962161,Organic Pigment Yellow 34 CAS 1344-37-2 For Coating Inks Paints,Pigment,Chemicals,89.0,70000.0,kilograms,5.0,100000.0
46,495201435508017074,Color Powder Plastic Dyes Colorant For Plastic And Color Masterbatch,Pigment,Chemicals,"['$0.10/kilogram', '']",N/A,N/A,,10000.0
47,-3915207535714140159,Sheng Zhu Super Glitter Cosmetics Grade Color Shifting Aurora For Eyeshadow Chameleon Pigment Powder,Pigment,Chemicals,"['$0.10/gram', '']",N/A,N/A,4.9,250000.0
48,2753646686372008483,30 colors 10ml set liquid candle pigment dye high concentrated colorant for DIY candles and soap handmade craft,Pigment,Chemicals,10.5,1.0,sets,4.5,3500000.0
49,2753646686372008483,30 colors 10ml set liquid candle pigment dye high concentrated colorant for DIY candles and soap handmade craft,Pigment,Chemicals,10.1,100.0,sets,4.5,3500000.0
50,2753646686372008483,30 colors 10ml set liquid candle pigment dye high concentrated colorant for DIY candles and soap handmade craft,Pigment,Chemicals,9.0,1000.0,sets,4.5,3500000.0
51,2753646686372008483,30 colors 10ml set liquid candle pigment dye high concentrated colorant for DIY candles and soap handmade craft,Pigment,Chemicals,7.6,3000.0,sets,4.5,3500000.0
52,1369384715844524062,Reversible high temperature Change Color pigment Color to Colorless Thermochromic pigment powder heat sensitive dye,Pigment,Chemicals,"['$2.00/gram', '']",N/A,N/A,5.0,90000.0
53,4163428704559282313,Timesrui Hot Selling 50g DIY Epoxy Resin 45 Rainbow Colors Pigment Resin Dyes For DIY Resin Filler Jewelry Making Craft,Pigment,Chemicals,2.1,1.0,sets,4.9,220000.0
54,4163428704559282313,Timesrui Hot Selling 50g DIY Epoxy Resin 45 Rainbow Colors Pigment Resin Dyes For DIY Resin Filler Jewelry Making Craft,Pigment,Chemicals,1.9,50.0,sets,4.9,220000.0
55,4163428704559282313,Timesrui Hot Selling 50g DIY Epoxy Resin 45 Rainbow Colors Pigment Resin Dyes For DIY Resin Filler Jewelry Making Craft,Pigment,Chemicals,1.7,100.0,sets,4.9,220000.0
56,-4122536031349256283,Iron Oxide Red/Black/Yellow/Blue Iron Oxide Pigments for Cement Concrete Brick Colorant,Pigment,Chemicals,"['$0.75/kilogram', '']",N/A,N/A,4.5,120000.0
57,-4042008289017890794,Holographic color shifting Chameleon Pearl Pigment chrome powder For Car Paint,Pigment,Chemicals,N/A,N/A,N/A,,1000.0
58,9075203457261685739,High Quality Universal Cosmetic Ultra Fine Laser Holographic Pigment Holographic Eyeshadow Pigment,Pigment,Chemicals,2.3,50.0,grams,4.9,110000.0
59,9075203457261685739,High Quality Universal Cosmetic Ultra Fine Laser Holographic Pigment Holographic Eyeshadow Pigment,Pigment,Chemicals,2.0,200.0,grams,4.9,110000.0
60,9075203457261685739,High Quality Universal Cosmetic Ultra Fine Laser Holographic Pigment Holographic Eyeshadow Pigment,Pigment,Chemicals,1.9,500.0,grams,4.9,110000.0
61,-4771617335737881559,Kolortek Cosmetic Grade Matte Effect Iron Oxide Pigment Powder,Pigment,Chemicals,"['$30.00/kilogram', '']",N/A,N/A,5.0,50000.0
62,-2809756413309891098,CNMI Cosmetic Grade Mica Powder Makeup Mica Powder Pearl Pigments Inorganic Pigment Cosmetic Grade Mica Powder,Pigment,Chemicals,10.85,1000.0,sets,4.5,210000.0
63,4665665141342043007,green yellow blue red PE UV 365nm pigments invisible security Uv fluorescent pigment powder,Pigment,Chemicals,"['$1.00/gram', '']",N/A,N/A,5.0,90000.0
64,5712998154811909493,Mica Powder 15 Colors Natural Pigment Powder for Lip Gloss Epoxy Resin Pigment Dye Soap Making/Epoxy Pigment Metallic Set,Pigment,Chemicals,0.78,1.0,sets,4.8,290000.0
65,5712998154811909493,Mica Powder 15 Colors Natural Pigment Powder for Lip Gloss Epoxy Resin Pigment Dye Soap Making/Epoxy Pigment Metallic Set,Pigment,Chemicals,0.72,2000.0,sets,4.8,290000.0
66,5712998154811909493,Mica Powder 15 Colors Natural Pigment Powder for Lip Gloss Epoxy Resin Pigment Dye Soap Making/Epoxy Pigment Metallic Set,Pigment,Chemicals,0.6,3000.0,sets,4.8,290000.0
67,-1218777136477493013,Anti-freeze Liquid Dye Fluorescent Green Pigment,Pigment,Chemicals,82.0,1.0,kilograms,4.9,70000.0
68,-1218777136477493013,Anti-freeze Liquid Dye Fluorescent Green Pigment,Pigment,Chemicals,75.0,100.0,kilograms,4.9,70000.0
69,-6069252326863179214,Matte Industrial Plastic Colorant Pigment Indigo Powder Iron Oxide Colour Pigments for Water Paints Lime Wash Art Wall Paint,Pigment,Chemicals,1.0,10.0,kilograms,4.8,290000.0
70,-6069252326863179214,Matte Industrial Plastic Colorant Pigment Indigo Powder Iron Oxide Colour Pigments for Water Paints Lime Wash Art Wall Paint,Pigment,Chemicals,0.95,500.0,kilograms,4.8,290000.0
