,Unnamed: 0,ID,title,product_type,macro_category,prices,quantities,unit_of_measure,score,total_annual_revenues
0,0.0,-3.9433209163092035e+18,SHYZ Dye Pearlescent Color Pigment Soap Making Candle Epoxy Non Toxic Mica Powder,Pigment,Chemicals,1.5,100.0,pieces,5.0,10000.0
1,1.0,-3.9433209163092035e+18,SHYZ Dye Pearlescent Color Pigment Soap Making Candle Epoxy Non Toxic Mica Powder,Pigment,Chemicals,1.35,1000.0,pieces,5.0,10000.0
2,2.0,-3.9433209163092035e+18,SHYZ Dye Pearlescent Color Pigment Soap Making Candle Epoxy Non Toxic Mica Powder,Pigment,Chemicals,1.2,2000.0,pieces,5.0,10000.0
3,3.0,3.997856763465518e+18,Food Grade Pigment Edible Luster Dust Gold Glitter Powder for Cake Gummy Bears Nutraceuticals,Pigment,Chemicals,39.99,1.0,kilograms,4.9,70000.0
4,4.0,3.997856763465518e+18,Food Grade Pigment Edible Luster Dust Gold Glitter Powder for Cake Gummy Bears Nutraceuticals,Pigment,Chemicals,27.98,25.0,kilograms,4.9,70000.0
5,5.0,3.997856763465518e+18,Food Grade Pigment Edible Luster Dust Gold Glitter Powder for Cake Gummy Bears Nutraceuticals,Pigment,Chemicals,22.62,100.0,kilograms,4.9,70000.0
6,6.0,3.997856763465518e+18,Food Grade Pigment Edible Luster Dust Gold Glitter Powder for Cake Gummy Bears Nutraceuticals,Pigment,Chemicals,9.99,100000000.0,kilograms,4.9,70000.0
7,7.0,-9.107464125335898e+18,Factory Price CAS 12004-37-4 Strontium Aluminate Luminescent Pigment For Sale,Pigment,Chemicals,"['$200.00/kilogram', '']",,,4.9,620000.0
8,8.0,-8.186306912972676e+18,5ml Sealed Inner Plug Oily Color Essence 24 Color Concentrates DIY Crystal Epoxy Resin Pigment for DIY Jewelry Making,Pigment,Chemicals,0.14,5.0,pieces,4.8,420000.0
9,9.0,-8.186306912972676e+18,5ml Sealed Inner Plug Oily Color Essence 24 Color Concentrates DIY Crystal Epoxy Resin Pigment for DIY Jewelry Making,Pigment,Chemicals,0.13,50.0,pieces,4.8,420000.0
10,10.0,-8.186306912972676e+18,5ml Sealed Inner Plug Oily Color Essence 24 Color Concentrates DIY Crystal Epoxy Resin Pigment for DIY Jewelry Making,Pigment,Chemicals,0.12,100.0,pieces,4.8,420000.0
11,11.0,-3.1233998671664287e+18,Europium Oxide Doped Strontium Aluminate Phosphor Strontium Aluminate,Pigment,Chemicals,300.0,1.0,kilograms,5.0,250000.0
12,12.0,-3.1233998671664287e+18,Europium Oxide Doped Strontium Aluminate Phosphor Strontium Aluminate,Pigment,Chemicals,215.0,50.0,kilograms,5.0,250000.0
13,13.0,-3.1233998671664287e+18,Europium Oxide Doped Strontium Aluminate Phosphor Strontium Aluminate,Pigment,Chemicals,185.0,1000.0,kilograms,5.0,250000.0
14,14.0,-6.147546366712783e+18,Hotsale Industrial Grade Gold Color Pearl Pigment Mica Pearlescent Powder For Ink Coating,Pigment,Chemicals,,,,5.0,1500000.0
